	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
HCRTR2	0	0.0588	0.0345	0
CCDC195	0.4604	0.1907	0	0
C20orf141	0	0	0.0899	0.2208
AL049779.1	0	0	0	0.1035
MEPE	0.0375	0.1866	0	0
ADAMTS19	0.0172	0.0429	0.0251	0.0463
NFILZ	0.2751	0.1026	0	0
OR7C1	0.1752	0.0237	0.0222	0.0205
AKR1C8P	0.1593	0	0.1452	0.0356
FAM153B	0.1395	0	0	0.0624
ACSM2B	0.057	0.1204	0.0083	0.0816
AL391628.1	0.087	0.0541	0.0423	0.0433
GOLGA6L7	0.0941	0.0195	0.0229	0
MYF6	0.07	0.0435	0.2041	0
RFPL3	0.1239	0.0385	0	0.0554
RBFOX1	0.0591	0.033	0.0689	0.0264
TKTL2	0.1748	0	0	0
OCSTAMP	0.0438	0	0.0639	0
FOXN4	0.1315	0.0327	0.0192	0.0235
SCYGR6	0	0	0	0
NTSR2	0	0	0.0847	0
PLET1	0.1207	0.075	0.044	0.054
SEPTIN12	0.0912	0	0.0332	0
OR56B1	0.9855	0	0	0.0401
XKR3	0.055	0.1709	0.1204	0.197
SRXN1	0	0.0229	0.0536	0
THSD8	0.2103	0	0.0767	0.047
NPY2R	0.1798	0	0	0.069
CHRND	0.0297	0.1291	0.0216	0.1594
MAGEA8	0.1574	0	0.0287	0
C16orf92	0	0.0518	0	0
ANKRD66	0.0756	0	0.0551	0.0225
UPK3BL2	0	0	0	0.0828
DHRS7C	0.2859	0.0444	0	0.2559
DEFB126	0	0	0	0
LRRC14B	0.1447	0.0674	0	0.0972
CRB1	0.095	0.0272	0.0213	0.0196
CKLF-CMTM1	0.0658	0.0409	0.096	0
ZAR1L	0.2935	0.0365	0.0428	0
KCNE2	0	0.0545	0	0
POU3F3	0.213	0.012	0	0.0347
CENPS-CORT	0.0829	0.0257	0.0604	0.0371
TRIML2	0.1829	0.0379	0.0222	0.0273
TBC1D3F	0.0439	0	0	0
IFNA5	0.0942	0.0585	0	0
CST11	0	0	0	0
AL121758.1	0	0.0639	0	0.0613
ATP5MF-PTCD1	0.0651	0.0202	0.0474	0
OR8G5	0	0	0.3645	0
KCNH5	0.0151	0	0.022	0
SPRR4	0.1238	0	0	0
CCDC70	0	0	0	0
ACOT12	0.0758	0	0	0.0339
SLC34A1	0.1027	0.0255	0.0299	0
SUPT20HL2	0.0289	0.0359	0.0211	0.0517
CXorf65	0.5771	0.0512	0.0601	0
FGF23	0.0197	0.0245	0.0144	0
CLEC18C	0.0755	0.0352	0	0
EPB42	0.2854	0	0.7399	0
SP9	0	0	0.0265	0
OPRPN	0.0887	0	0	0
AKR1D1	0.0818	0.0169	0.0397	0.0244
KIAA1210	0.0119	0.1994	0	0.0745
TTLL13P	0.0477	0.0148	0.0174	0.0213
ETV3L	0.31	0.0275	0.1291	0
FRMD7	0	0.0347	0.0204	0
PRKAG3	0.0837	0.0693	0.0407	0.025
AC010422.3	0.111	0	0	0
ACOT6	0.0547	0.034	0	0.049
OR3A1	0.1119	0	0.0816	0
PPIAL4G	0	0.153	0	0
OPRM1	0.0221	0.011	0.0226	0.0079
TMIGD1	0.2272	0.047	0	0
ZC3H11A	0.1232	0.0585	0.0053	0.013
C10orf95	0	0	0	0
CCDC166	0.3522	0	0.1027	0
FAM170A	0.2024	0	0	0.2416
FREM3	0.0948	0.0084	0.0395	0.0242
RFPL1	0.0622	0	0.0453	0
PATE2	0.1116	0	0	0
PCDHA9	0.0095	0.0473	0.0139	0.0085
TEX19	0	0	0	0
GRK7	0.0861	0	0.0419	0
H4C13	0.4806	0	0	0
F13B	0.0321	0	0	0
ZIM2	0	0	0.0442	0.0543
AL121594.1	0.0723	0.015	0.0176	0.1726
PLA2G2E	0.1185	0	0	0
MT1HL1	0	0.1704	0	0.2455
AHRR	0.1084	0	0.0287	0.0088
OR5M11	0	0	0	0
GAPDHS	0.1886	0.0391	0	0.0563
FRG2C	0.0895	0.0278	0	0.0401
MOBP	0.0302	0.025	0.0147	0.027
AWAT2	0.0758	0	0	0
TEN1	0.145	0.0901	0	0
HSFX2	0.1892	0.0294	0	0
GPR152	0.5206	0	0	0
PABPC1L2A	0.3326	0.0258	0	0
IL36A	0.209	0	0	0
PRSS45P	0	0	0.0526	0
DNTT	0.3323	0.0295	0	0.0425
IRS4	0	0.1471	0	0
NPS	0	0	0	0.0676
C9orf131	0.2917	0.0151	0	0.0218
C9orf57	0.0529	0	0.0386	0
KRTAP3-1	0.2517	0	0	0
HTD2	0.0743	0.0308	0.0542	0.0222
IRGC	0.3809	0	0	0.0487
POTEF	0.1186	0.0368	0.0288	0.0354
CCL15-CCL14	0	0	0	0
MAGEB5	0	0	0	0
U52112.1	0.7841	0	0	0
SLC39A12	0.0994	0.0411	0.0241	0
TEX13C	0	0	0	0
DEFB131A	0	0	0	0
PAX1	0.0635	0	0.0579	0
FRMPD2	0.0324	0.0335	0.0079	0.029
TRDN	0.0857	0.0059	0.0416	0.017
OR52W1	0.3339	0	0.1826	0.0747
C20orf203	0.1737	0.0098	0.0345	0.0283
TMCO5A	0.07	0.0217	0.0255	0.0313
RNF113B	0.0674	0	0.0983	0
DEFB136	0.3924	0	0	1.0535
AC011511.1	0	0.0553	0	0
RSPH6A	0.2937	0	0	0
OR2B11	0.116	0.036	0.148	0
AL441992.2	0.04	0.0083	0.0195	0
TAS2R30	0.3859	0.0342	0.0402	0
C10orf71	0.0342	0.0531	0.0125	0
PABPC1L2B	0.0881	0.0182	0	0
CCDC182	0	0.0718	0	0.3102
FOXG1	0.2397	0	0.0388	0.0238
POU5F2	0.2552	0.0138	0.0081	0.0298
CFAP299	0.0625	0	0	0.0187
CCDC27	0.1317	0.0545	0.016	0
AC092647.5	0	0	0	0
SMIM40	0.1576	0.0979	0.1149	0
AL645941.2	0	0.0944	0	0
FABP12	0	0	0	0
KCNU1	0.0469	0.0291	0	0
SYNJ2BP-COX16	0.1987	0.0411	0	0
MIF	0	0	0.0929	0
IL17F	0.0903	0	0.0658	0
GRXCR2	0	0	0	0
MAS1	0.0502	0.0052	0.0061	0.0075
PAQR9	0.043	0	0.0125	0.0077
C19orf85	0.072	0	0	0
BTG4	0.0516	0.0642	0	0
VHLL	0.4079	0	0	0
CATSPERD	0.2006	0	0.0244	0
SLC17A2	0.0362	0.0225	0.0264	0.0972
UGT1A4	0	0	0	0
FNDC7	0.2408	0.0187	0	0.0808
GK3P	0.0498	0.0928	0.1815	0
LY6L	0	0	0	0
RFX4	0.0278	0.2506	0.0304	0.1867
ASB11	0.0893	0.0555	0.0217	0
SRARP	0.0612	0.019	0	0
IFNA21	0.3632	0	0.0662	0
AL357673.1	0.4471	0.0146	0.0172	0.0421
LYPD4	0.6013	0	0	0
RSPH10B	0.0931	0.0116	0.0136	0
FGF21	0.0689	0	0	0.0617
ARPP21	0.0737	0.0172	0.0269	0
ADGB	0.0718	0.052	0	0.0214
CACNA1S	0.1844	0.0095	0.0112	0
OOSP4B	0	0	0	0
ANKRD20A1	0.0143	0.0178	0.0208	0
PAGE4	0	0.0258	0.0605	0
ARHGAP19-SLIT1	0.0227	0.0283	0	0
SMCO1	0	0	0	0
SCYGR4	0	0	0.368	0
MC3R	0	0	0	0
UGT1A3	0	0	0	0
POTEJ	0.0276	0.0857	0.0604	0.0247
DPRX	0	0	0	0
AC113554.1	0.0191	0	0.0279	0
DMRT1	0.0572	0.0178	0	0
OR6S1	1.6806	0	0	0.1671
OR1J2	0.3949	0.0613	0	0
OR51B4	0	0.0619	0	0
PTH	0	0	0	0
IL9	0.1537	0	0	0
PBOV1	0	0.0231	0	0
TNNI3K	0.0196	0.0366	0	0
C7orf33	0.0807	0	0	0
GRAPL	0.4242	0.0293	0	0
TMPRSS12	0	0.0173	0.0203	0
UBE2F-SCLY	0.0291	0.0723	0	0.0261
ZNF648	0.051	0	0.0186	0.0912
LRTM2	0.0435	0	0.0475	0.0195
PROKR1	0.0434	0.0674	0.0158	0.0582
SPACA5	0.127	0	0	0
C1orf87	0	0	0	0
DSC1	0.1742	0	0	0.0779
RGPD1	0.217	0.0079	0.0093	0.0228
KBTBD13	0.0871	0.0361	0.0212	0.026
OR2A12	0	0.0277	0.0163	0.0399
AC008758.5	0	0	0	0
ARMH2	1.0108	0	0	0
SPATA16	0	0.0271	0	0
AC023055.1	0.0734	0.0456	0.0535	0.0985
TCP10L2	0.2376	0	0.0157	0.0387
BPIFB6	0	0	0	0
BRDT	0.1287	0	0	0
MRGPRD	0.0963	0	0	0
AC008750.7	0.5063	0.1049	0	0.1511
C1orf141	0.0185	0.023	0	0
AC069444.2	0	0	0	0
AP001054.1	0	0	0	0
TCP10L	0.0643	0.02	0.041	0.0288
ABHD14A-ACY1	0.0391	0.0243	0.0142	0.0175
IFNK	0.3263	0	0	0
DEFB132	0	0	0.7311	0
TEX44	0.0658	0.0818	0.048	0
AF196969.1	0	0	0.0951	0
H2AC7	0	0	0	0
ANP32D	0.0874	0.2172	0	0
HNRNPCL1	0.082	0.0509	0.0598	0.0734
H2BW2	0.0494	0	0	0
CCDC73	0.1417	0.0293	0.0172	0.0423
CCDC177	0.0445	0	0.0162	0
PPEF2	0.1307	0.0464	0.0136	0.0167
KRT74	0.3403	0	0	0
CHRNA4	1.5633	0.0049	0.0114	0
SAMD7	0.1481	0	0	0
RLN3	0.542	0	0.0565	0
VSX2	0.0616	0	0	0
NBPF6	0	0	0.0262	0
ZSWIM2	0	0	0.0246	0
HOXD11	0.0439	0.0273	0	0
NPIPA9	2.7314	0.0381	0	0.0275
POTEI	0.0407	0.0253	0.0198	0.0365
IFIT1B	0.0472	0	0.0688	0
ZNF177	0.0338	0.0419	0.0738	0.0604
FBXO47	0.0404	0	0	0
LGALS13	0.2623	0.0815	0	0
TAS2R13	0.2272	0.0353	0.0414	0.1017
FAM47C	0.0282	0	0.0206	0
AADACL4	0.059	0	0	0
BSND	0.0857	0.0592	0	0.0341
AC104304.2	0	0	0	0
PRSS56	0	0.0235	0	0
CT55	0	0	0	0.0482
HTR4	0.1188	0.041	0.0192	0.0118
SOX3	0.0892	0.5819	0.065	0.2794
RFPL4AL1	0	0	0	0.7102
OR2A14	0	0.052	0.0305	0.075
CLEC2A	0	0	0	0
SCGB1D1	0.2053	0	0	0
GML	0.1968	0.0611	0	0
SOHLH1	0.0766	0	0	0
C5orf47	0.1016	0.021	0.0247	0.0909
HTR1E	0	0	0	0.0456
SLC7A13	0.0416	0	0	0
AC022335.1	0	0	0	0
GRID2	0.0788	0.049	0.0192	0.0157
EXD1	0.0762	0.0316	0.037	0.0227
PROP1	0.3176	0	0	0
IL17A	0.0994	0	0.0362	0
SLCO1B3-SLCO1B7	0	0	0	0
OR10G2	0.4208	0.0523	0	0.0753
KHDC3L	0.1793	0	0	0
CRYGB	0	0.0916	0	0
RBMXL2	0	0.0269	0	0
DEFB135	0	0	0	0
TERB2	0.0619	0	0	0
ACOD1	0.1723	0.0535	0	0.0386
TRIM71	0.0427	0.0266	0.0156	0.0096
SPATA19	0.1036	0	0	0
C16orf46	0	0.0243	0	0
C16orf78	0.4277	0.1063	0	0
FOXD4L3	0.0419	0	0	0
OR52N5	0.0667	0.0207	0.1216	0.0299
SLC1A6	0.0608	0.0076	0	0.0327
PRB4	0.403	0	0	0
C1QTNF3-AMACR	0.0272	0.0506	0.0594	0.0486
GOLGA6L2	0.0532	0	0	0
ACSM2A	0.0567	0.0352	0.0083	0.0609
CCDC63	0.2555	0.0265	0.031	0.0381
MAGEA11	0.1073	0	0	0
KRTAP29-1	0.4532	0	0	0.0811
CFAP97D1	0.1731	0.0307	0.0361	0
KRT33B	0	0	0	0
SLC36A2	0.0653	0.0406	0.0159	0
OR51B5	0.2111	0.0146	0	0
SLC25A31	0.1026	0	0	0.0919
PPP1R2C	0.1165	0.1448	0	0
GTF2A1L	0	0.0282	0.0991	0
RAD21L1	0	0	0	0.0305
LCE1F	0	0	0	0
FOXR1	0.0757	0.047	0.0552	0
DGAT2L6	0.163	0.0675	0.0396	0
NPIPB7	0.0548	0	0	0
MUC7	0.0997	0	0	0
SATL1	0.0133	0.0331	0	0.0119
NEUROG2	0	0.0252	0	0
NAA11	0.0684	0	0.0249	0
HSFX4	0	0.046	0	0
ODF4	0	0	0	0
AC021072.1	0.1114	0	0	0
PSG9	0.0184	0.7554	0.0134	0.0495
AGXT2	0.0471	0	0	0
CFAP206	0	0	0	0.023
AC093227.2	0.2369	0	0.0864	0
OR52N1	0.0365	0.0454	0.0799	0.0654
KRTAP2-2	0	0.1576	0.185	0
AC087632.2	0.0849	0	0.0206	0
RESP18	0.4886	0	0.0594	0
FAM205A	0	0.1088	0.016	0
SPDYE2B	0.0449	0	0	0
GRK1	0.0572	0.0947	0.0139	0
LBX1	0.0641	0	0	0
RIT2	0	0.0283	0	0
SPDYE17	0.0322	0	0	0
POU3F4	0.0242	0	0	0
HSD3B1	0.0381	0	0	0.0681
CCDC83	0.1577	0	0	0
TACR3	0.0174	0.0108	0	0
SEMG2	0	0	0	0
ACTL7B	0	0	0	0
IDI2	0	0	0.05	0.7366
LRRC3B	0.1147	0.0324	0.0152	0.0373
BOLA2-SMG1P6	0.1089	0.0169	0.0198	0.0731
AL138752.2	0.0359	0.0446	0.0262	0
LMAN1L	3.5322	0	0	0
PTH2	0	0	0	0
SLC35G3	0.5104	0	0	0
GRIN2B	0.153	0.0522	0.07	0.0322
AMELY	0	0	0	0.1681
OR14L1P	0	0	0	0.0553
SSMEM1	0.136	0	0.0496	0
GRM5	0.0107	0.0067	0.0627	0
SERPINB12	0.0728	0	0	0
POM121L2	0	0.0172	0	0
GSTT4	0.0459	0.057	0.0334	0
H4C15	0	0	0	0
AL139011.2	0.0581	0.018	0.0212	0.026
RIMBP3C	0.0322	0.04	0.0234	0.0432
GADL1	0.0761	0.0079	0.0092	0
HNRNPCL2	0.1609	0.05	0.0586	0
KHDC1L	0	0	0	0
GNAT1	0.0709	0.0587	0	0
DYDC1	0	0	0	0.1346
KRT25	0.2229	0	0.0406	0.1995
NPAP1	0.0122	0.0303	0.0089	0.0765
CHRNG	0.064	0.0132	0	0
CSNK1A1L	0.3092	0.048	0	0
AC025165.6	0	0	0.0437	0
ROPN1	0.0206	0.0256	0	0.0921
TMPRSS11A	0	0.0146	0	0
MS4A12	0.0506	0	0	0
KRTAP19-8	0	0.1817	0	0
RHO	0.2352	0	0.0245	0
KIF4B	0.0848	0.0263	0.0155	0
IFNW1	0.0481	0	0	0
ANTXRL	0.06	0	0.0219	0
FAM156B	0.1461	0.0778	0.0152	0.0187
LMOD2	0.0348	0	0	0
PGK2	0	0	0.0834	0
ASB10	0	0	0	0
C12orf50	0.0497	0.0103	0.0121	0.0148
H2AC1	0	0.1155	0	0
SMIM36	0	0.0165	0.0193	0
PIWIL3	0.1223	0	0	0
AC008581.2	0.0396	0.0246	0	0
CST9	0.0569	0	0	0
NPIPB8	0.1193	0	0	0
POTEE	0.1109	0.0413	0.0485	0
OR1K1	0.1956	0.0608	0.0713	0
PGA3	0.0369	0.2752	0	0
AIPL1	0.35	0	0.017	0
IGBP1P2	0	0.0389	0	0
CSMD3	0.278	0	0	0.0856
IL22	0.4757	0	0.1156	0.071
PPDPFL	0	0	0	0
ODF1	0.0906	0.0563	0	0.1622
OTOP2	0.031	0	0	0.0277
GJA9	0.1525	0.0711	0	0.0341
MORC1	0.0496	0.0154	0.0181	0.0444
TEX13B	0.149	0	0.0543	0
FOXI3	0	0.0407	0	0.0293
SSX3	0.0441	0	0	0
KIAA0408	0.0406	0.0378	0.0222	0
C3orf22	0.0429	0.0799	0.0313	0
TAS2R8	0	0.0467	0.0549	0
TAF11L11	0	0	0	0
LIM2	0.5568	0	0.0677	0
KRT33A	0.0714	0	0	0
KRTAP16-1	0.1197	0.0744	0	0.0536
FAM9B	0.027	0.0419	0.0295	0
EBLN1	0	0	0	0
SPATS1	0.081	0.0126	0.0148	0.0181
BHMG1	0.1448	0.0675	0	0.0648
H1-1	0	0	0	0.2202
CDC42EP2	0.1289	0.0267	0	0
BUB1B-PAK6	0	0	0	0
DUXA	0.0887	0	0.1941	0
MROH7-TTC4	0.0131	0	0.0191	0.0117
MAGEC1	0.0218	0	0	0
TCL1B	0.3003	0	0	0
STH	0.209	0	0	0
OR2T8	0.2275	0	0	0
C16orf82	0.0756	0	0.0276	0.1015
PRSS54	0.0881	0.0274	0	0
OR6K3	0.0992	0	0.2893	0
SMIM9	0.1518	0.0472	0	0.1359
AL603764.2	0.1043	0	0	0
CCDC175	0.0289	0.0179	0	0.0517
CHIA	0.02	0.1493	0.0146	0
MDGA2	0.0105	0.0325	0.0229	0
KRTAP10-2	0.1619	0	0	0
OR12D2	0.1702	0.2115	0	0.2539
FKBP6	0.0588	0.0365	0.0143	0.0175
SMR3A	0	0	0	0
TARM1	0.0728	0	0	0
UGT1A5	0	0	0	0
SLC15A5	0.0318	0.0395	0	0
OR11H6	0	0	0	0.0838
LIN28B	0.0313	0	0.0114	0
ELSPBP1	0.1626	0	0	0
FAM240A	0	0.0633	0	0
FAM90A26	0	0	0	0.1336
PFN3	0	0	0	0
TAS1R2	0.0366	0	0.0267	0.0327
CTXND2	0	0	0.1103	0
BOLL	0.0468	0.0145	0.0341	0
ADAMTS20	0.0494	0	0	0
CSAG2	0.2576	0	0	0
SPRR2B	0	0	0	0
OR10A2	0.069	0	0.0252	0
KRTAP7-1	0.258	0	0	0
KRT76	0.0368	0	0	0
TBC1D21	0.0732	0	0	0
H2BC1	0	0	0	0
HDGFL1	0.0885	0	0.0645	0
DEFB123	0.2627	0	0	0
LECT2	0	0	0	0
OR10H5	0.0261	0.0243	0.019	0.0117
TMPRSS11F	0.0448	0	0.0326	0
MAGEB1	0	0	0	0
NLRP10	0.021	0	0	0
TEX33	0.1598	0	0	0.0715
FABP9	0.159	0	0	0
SPAM1	0.0613	0	0	0
C2orf83	0	0	0.0389	0
ARL5C	0.0272	0.0169	0	0.0244
FAM181A	0.1267	0	0.0616	0
TBPL2	0	0.024	0.0282	0
OR52B6	0	0	0	0
AL603832.3	0.0863	0	0	0
CTAGE6	0	0	0.026	0
TRIM75P	0.657	0.0628	0	0
C4orf54	0.1475	0.0229	0.0067	0.0908
LMLN2	0.0864	0.0895	0	0
ADGRD2	0.1339	0.0104	0	0
GPR50	0.1381	0	0	0
MYOG	0.0617	0	0	0
GOLGA6A	0	0	0	0
RTP1	0	0	0	0
CALR3	0	0	0	0
TMEM256-PLSCR3	0.0727	0.0226	0.0265	0.0325
KLHL40	0	0	0.0271	0
AP000471.1	0	0	0	0
LRRC52	0	0.0842	0	0
RAX	0.0246	0	0.0716	0.1319
FBXO40	0.2789	0	0.012	0.0147
BHLHA9	0	0	0.0494	0.0607
OR2A25	0	0.0312	0	0
AKAP4	0.0614	0.0382	0	0
POU4F2	0	0	0	0
C10orf120	0	0	0	0
NRN1L	0	0	0	0
PDILT	0.0819	0.0763	0	0.0366
DEFB108B	0.5585	0.0867	0	0
OR51I1	0.1968	0	0	0
GJA8	0	0	0	0
DEFB119	0.2372	0.0737	0	0
SLCO6A1	0.0314	0	0	0
ABCC12	0.0321	0	0.0078	0
OR1R1P	0	0	0	0
TRHR	0.0755	0.0156	0.0183	0
C3orf56	0.0534	0.0664	0.039	0
MAGED4	0	0.0721	0.0141	0
KIR3DL3	0	0	0	0
ERVV-2	0.0307	0	0	0
AC005697.1	0	0	0	0
TTLL8	0.1031	0	0	0
CFHR4	0	0	0	0
KRTAP13-2	0	0	0	0
KRT85	0.0343	0.0852	0	0
BHLHB9	0.0843	0	0.0246	0
SELENOV	0.1074	0	0	0.0481
NPIPA7	0.0664	0	0	0.0594
OR6M1	0	0	0.0644	0
TMED7-TICAM2	0.0249	0.0155	0	0
IL31	0	0	0	0
C3orf84	0	0.0656	0.077	0
RSPH10B2	0.1304	0.0116	0.0136	0
AC068946.2	0.0709	0	0	0.0159
OR13C5	0	0.0604	0	0
KPRP	0.0373	0	0	0
LUZP4	0	0	0	0
GGTLC3	0	0.0597	0	0
AGBL1	0.0205	0.0085	0.01	0
RAX2	0	0	0	0
OR9A4	0.0454	0.0564	0.0662	0
DEFB4B	0	0	0	0
DCD	0.2118	0.0658	0	0
FAM47E-STBD1	0	0	0	0.0257
OR10G4	0	0.0638	0	0.0459
AP000781.2	0	0	0	0.1856
CFHR5	0	0	0	0
APOC4-APOC2	0.0508	0.0632	0.0741	0.0455
DEFB118	0.2374	0	0	0
KRTAP5-11	0.0611	0.038	0	0.1094
DAZ1	0	0	0	0
MYF5	0.0604	0.0375	0	0
AL133353.2	0.0472	0	0	0.1267
MBL2	0.1028	0	0	0
LGALS14	0.1029	0	0	0
AC097636.1	0	0	0	0
TBC1D3K	0	0.0819	0.032	0
PRDM9	0.0505	0	0	0
AC092587.1	0	0	0	0
CRNN	0.0489	0	0	0
TMEM235	0.0715	0	0.0261	0.064
DMRTC2	0.3567	0	0	0
DMRTB1	0.1143	0	0	0
SCYGR8	0	0	0	0
MMP27	0	0.0308	0	0
KRT77	0.0695	0	0.0338	0
PCDH11X	0.4238	0.005	0	0
AC012309.1	0.1124	0.0699	0	0
SPANXN5	0	0	0	0
COX7B2	0	0	0	0
LITAFD	0	0.0355	0.0417	0
DEFB134	0	0	0.0635	0.0779
KRT37	0	0	0.0389	0
OR5C1	0.0966	0.06	0	0
SCN10A	0.0967	0.0172	0.1007	0.0371
NXNL1	0	0	0.1477	0.0907
AC087289.3	0.0367	0	0	0.0493
HORMAD2	0.1221	0.0253	0	0
AC048338.2	0	0	0	0
CPHXL	0.0684	0.0425	0	0
TMEM207	0	0	0	0
GUCA1A	0.0288	0	0	0
OR52D1	0	0	0	0
CTAGE1	0.0431	0.0268	0.0314	0
ZSCAN10	0.1128	0	0.0206	0.0505
F9	0	0	0	0
MTRNR2L5	0.1102	0	0	0
SPEM2	0	0	0.0411	0
KRT84	0.0445	0.0552	0	0
LCE1A	0.2976	0	0	0
PSMB11	0	0	0	0
SAG	0.0548	0	0	0
OR1F1	0	0	0	0
WFDC8	0	0	0	0
OR1B1	0.1869	0.0581	0	0
AL049634.2	0.2174	0	0	0
GAGE2A	0	0	0	0
GPR26	0.0812	0	0.0197	0
ZAN	0.1467	0.0065	0.0076	0.0281
OR2A2	0	0	0.0645	0
WFDC9	0	0	0	0
TMEM212	0.0342	0	0	0.0306
WDR87	0.182	0.0188	0	0
H4C7	0	0	0	0
AL022238.3	0.0408	0.0253	0.0594	0
TRPC5	0.0478	0.0198	0.0116	0
MUC19	0.0568	0.0039	0.0046	0.0113
OR5B2	0.0421	0.0262	0	0.0377
DRD3	0.0879	0.0182	0	0
GOT1L1	0.1761	0	0	0
AL121845.3	0.0292	0	0.0213	0
OR1N1	0.099	0	0	0
PRDM13	0.0288	0.0179	0	0
KRTAP4-6	0	0	0	0
S100A7A	0.0626	0	0	0.0187
SPDYE13	0	0	0	0
BSX	0	0	0	0
OPN1LW	0	0	0	0
OR52I1	0.0314	0	0	0.0281
PANX3	0.1076	0.0334	0	0.0481
OR1E1	0	0	0.0519	0
CLDN25	0	0	0	0.2208
USP17L2	0.0974	0.0302	0	0
PSG3	0	0.204	0.02	0.2694
BARHL2	0.273	0.0283	0	0
PRDM7	0.0436	0	0	0
FOXD4L6	0	0	0	0
PPIAL4D	0	0	0	0
H1-8	0	0	0	0
LHCGR	0.0372	0.0231	0.0407	0
ASB17	0.0861	0	0	0
ODF3	0.0904	0	0	0.0539
VN1R2	0.0637	0	0	0
DPEP2NB	0.0785	0	0	0
GABRR3	0.0326	0	0	0
LHX3	0	0	0	0
AC134669.1	0	0.0465	0	0.067
AVP	0	0	0	0
SLX1B	0.0755	0.0235	0	0
TM4SF19-TCTEX1D2	0	0	0	0
AC006030.1	0.0735	0	0.0134	0
ANKRD63	0.0814	0	0.0593	0
NUDT4B	0	0	0.0562	0
SULT6B1	0.0702	0	0.0512	0
PRSS38	0.0734	0	0.0535	0.0657
CNBD1	0.2493	0	0.026	0
OOSP1	0	0.0518	0	0
TBC1D3	0	0	0	0
LCE2A	0.1522	0	0	0
TSNAX-DISC1	0	0.0549	0	0.0198
SEBOX	0	0	0	0
OR2D2	0	0	0.1222	0.075
OR2B2	0	0	0	0
SPATA3	0.0651	0	0	0
AC090517.4	0.0368	0	0.0269	0.0165
SAP25	0.0633	0	0	0.0567
TRPM1	0.0624	0.0155	0.0364	0.0112
SPATA48	0.1157	0	0	0
SLC22A12	0.0275	0.0171	0.2206	0
ZNF705A	0.0513	0.0159	0	0
PATE4	0.0645	0.02	0	0
C13orf42	0.1543	0.016	0	0.023
SMIM42	0.0916	0.1138	0	0
GALP	0.1958	0	0	0
MRGPRX2	0.0449	0	0	0
SLC36A3	0.3362	0.0116	0.0272	0.0334
CRX	0.2018	0.0096	0.0113	0.0417
SLC22A6	0.0778	0	0	0
OR1I1	0	0.0095	0.0112	0
HTR2C	0	0	0.014	0
OR11H4	0.0561	0	0	0
CCDC179	0	0	0.0696	0.0855
PSG2	0.0656	0	0	0
HTN1	0	0	0	0
TAS2R9	0.173	0	0	0
BLID	0	0	0.0774	0.095
TENT5D	0.058	0.018	0	0
USP17L7	0.0553	0.0343	0	0
ACCSL	0.1494	0.0619	0	0
AL160272.2	0.1794	0.0446	0	0.0642
SPEM1	0.0913	0	0	0
NMS	0.3835	0	0	0
ADAM18	0.0243	0	0	0
LINC02218	0.2436	0.0378	0	0
OR52H1	0.2441	0	0	0
AL162596.1	0	0	0	0
SCYGR2	0	0	0	0
NOTO	0.0764	0	0	0
FAM25G	0	0	0	0
GCM2	0.1098	0.0227	0	0
VXN	0.0391	0	0.0569	0.035
POTEM	0.0667	0.0332	0.0195	0.0119
AC132217.2	0	0	0	0.0298
PRR32	0.0736	0.0915	0.0537	0
WNT8A	0.2802	0	0	0
LIN28A	0.117	0	0	0.0209
OR1M1	0.0719	0.0223	0.0262	0
MTRNR2L11	0.0599	0.1117	0.0437	0
ZNF723	0.0499	0	0.0364	0
OR9Q1	0.0748	0	0.0272	0.0669
OR5B12	0	0.0638	0.0749	0
OR6A2	0.0216	0	0	0
KRTAP17-1	0.1164	0	0	0
DCAF8L1	0.0269	0	0	0
TRIM43	0	0	0	0
ELOA2	0.0305	0.0379	0	0
FGF4	0	0	0	0
CABP5	0.2661	0	0	0
PRM1	0.2331	0	0	0
SHCBP1L	0.0312	0.0194	0	0
TBC1D3G	0.045	0	0	0
C12orf40	0.1044	0	0.0152	0.0187
KRTAP5-2	0	0	0	0
AADACL2	0	0.0114	0	0.0492
PSG8	0.0227	0.3108	0	0.285
CPLX4	0.0262	0	0	0.047
MEIKIN	0.0556	0.0345	0.081	0
TMEFF1	0	0	0	0
LCE1D	0	0	0	0
LYZL1	0.0821	0	0	0
STATH	0	0	0	0
AL662884.4	0	0	0	0
NANOS2	0.0594	0	0	0
CLRN2	0	0	0	0
INMT-MINDY4	0	0.0201	0	0
RGR	0.0753	0.0117	0.0137	0
AC013477.1	0.0158	0.0196	0	0.0424
GPHB5	0.4657	0	0	0
MFRP	0.0454	0.0141	0.0166	0.0406
ZIC4	0.0109	0.0068	0	0.0391
TAS2R1	0	0	0	0
OR52B2	0.1724	0	0	0
HTR3B	0.0963	0.012	0.014	0
MTRNR2L13	0	0	0	0
FLG2	0.0306	0.0443	0	0
NANOGNB	0	0	0	0
FGF6	0.1538	0	0	0
HBZ	0	0	0	0
OR10H2	0.1787	0	0	0
OR6J1	0	0.0277	0.0326	0
FTHL17	0	0	0	0
PMF1-BGLAP	0	0	0.0673	0
OR5B21	0.4994	0.0621	0	0
BMP10	0.2157	0.0191	0	0.0138
AC008073.3	0.0775	0	0.0282	0
